HDI,GE,EPI,BH,PAR,TBP,%RE,CO2/Capita,Solar,Wind,cluster
0.389,0.29100000000000004,0.7829999999999999,0.578,0.3,0.968,0.46399999999999997,0.071,0.504,0.11800000000000001,0
0.838,0.737,0.6829999999999999,0.609,0.32299999999999995,1.0,0.457,0.09699999999999999,0.062,0.11900000000000001,4
0.622,0.27899999999999997,0.883,0.18100000000000002,0.136,0.151,0.052000000000000005,0.092,0.731,0.14300000000000002,1
0.23600000000000002,0.27899999999999997,0.65,0.33899999999999997,0.107,0.013999999999999999,0.425,0.034,0.778,0.268,3
0.153,0.151,0.667,0.5720000000000001,0.174,0.557,0.965,0.008,0.607,0.006999999999999999,2
0.867,0.722,0.983,0.503,0.342,0.9940000000000001,0.371,0.126,0.075,0.12300000000000001,4
0.927,0.885,0.28300000000000003,0.423,0.655,1.0,0.177,0.418,0.127,0.115,4
0.23800000000000002,0.20600000000000002,0.083,0.39399999999999996,0.177,0.29100000000000004,0.903,0.005,0.7909999999999999,0.171,3
0.158,0.299,0.067,0.461,0.41600000000000004,1.0,0.8109999999999999,0.003,0.7909999999999999,0.09300000000000001,2
0.7390000000000001,0.711,0.067,0.5710000000000001,0.14800000000000002,1.0,0.059000000000000004,0.213,0.563,0.012,4
0.615,0.43,0.2,0.133,0.106,0.024,0.012,0.079,0.7909999999999999,0.019,1
0.071,0.226,0.0,0.754,0.115,0.68,0.848,0.005,0.902,0.138,2
0.89,0.6779999999999999,0.217,0.11599999999999999,0.14300000000000002,1.0,0.083,0.095,0.6409999999999999,0.129,4
0.551,0.129,0.36700000000000005,0.5,0.132,0.05,0.13,0.068,0.7340000000000001,0.10099999999999999,1
0.27,0.358,0.5,0.927,0.046,0.03,0.278,0.016,0.907,0.204,3
0.728,0.6809999999999999,0.38299999999999995,0.155,0.111,0.278,0.102,0.1,0.6409999999999999,0.151,1
0.684,0.439,0.36700000000000005,0.5710000000000001,0.215,0.852,0.107,0.1,0.8270000000000001,0.115,5
0.401,0.43200000000000005,0.217,0.478,0.03,0.0,0.076,0.034,0.574,0.059000000000000004,1
0.632,0.385,0.5,0.282,0.147,0.221,0.285,0.034,0.264,0.094,1
0.609,0.43,0.36700000000000005,0.743,0.23800000000000002,0.7390000000000001,0.037000000000000005,0.23399999999999999,0.46299999999999997,0.20600000000000002,5
0.773,0.513,0.16699999999999998,0.419,0.45799999999999996,0.484,0.45,0.084,0.344,0.22399999999999998,5
0.519,0.44799999999999995,0.36700000000000005,0.469,0.465,1.0,0.12,0.047,0.7829999999999999,0.225,0
0.11,0.281,0.41700000000000004,0.5660000000000001,0.49700000000000005,0.986,0.73,0.008,0.736,0.063,2
0.336,0.204,0.45,0.531,0.16899999999999998,0.155,0.665,0.013000000000000001,0.5579999999999999,0.048,3
0.44799999999999995,0.499,0.5,0.836,0.799,1.0,0.336,0.045,1.0,0.124,0
0.369,0.22899999999999998,0.433,0.408,0.27899999999999997,0.457,0.831,0.008,0.517,0.142,2
0.977,0.9,0.33299999999999996,0.267,0.396,0.935,0.08199999999999999,0.25,0.085,0.19399999999999998,4
0.9540000000000001,0.87,0.083,0.5720000000000001,0.573,0.909,0.344,0.192,0.261,0.713,4
0.47200000000000003,0.294,0.867,0.43,0.6940000000000001,0.9390000000000001,0.556,0.024,0.649,0.193,0
0.0,0.287,0.5329999999999999,0.8540000000000001,0.26,0.8390000000000001,0.863,0.003,0.9640000000000001,0.18,2
0.258,0.21899999999999997,0.6829999999999999,0.457,0.327,0.621,0.882,0.018000000000000002,0.752,0.07400000000000001,2
0.675,0.475,0.917,0.39,0.371,0.705,0.231,0.092,0.39299999999999996,0.124,5
1.0,0.915,0.883,0.812,0.484,0.83,0.6729999999999999,0.218,0.013000000000000001,0.41100000000000003,4
0.7440000000000001,0.537,0.767,0.9129999999999999,0.035,0.14,0.0,0.366,0.9690000000000001,0.17,1
0.29,0.316,0.9329999999999999,0.555,0.095,0.551,0.462,0.028999999999999998,0.726,0.168,3
0.748,0.491,0.7829999999999999,0.377,0.45399999999999996,0.753,0.27,0.068,0.5710000000000001,0.14400000000000002,5
0.28600000000000003,0.285,0.133,0.93,0.135,0.11599999999999999,0.5489999999999999,0.024,0.504,0.047,3
0.593,0.35,0.267,0.6779999999999999,0.201,0.841,0.6559999999999999,0.028999999999999998,0.659,0.08800000000000001,0
0.68,0.46,0.133,0.5870000000000001,0.575,0.8170000000000001,0.309,0.045,0.677,0.055999999999999994,0
0.575,0.488,0.4,0.423,0.23399999999999999,0.922,0.257,0.034,0.568,0.17,0
0.863,0.618,0.35,0.43,0.49,1.0,0.125,0.239,0.11599999999999999,0.129,4
0.835,0.748,0.35,0.256,0.426,1.0,0.306,0.132,0.527,0.152,4
0.8059999999999999,0.642,0.33299999999999996,0.899,0.032,0.634,0.0,1.0,0.871,0.09,5
0.153,0.14800000000000002,0.45,0.847,0.28,1.0,0.773,0.0,0.602,0.011000000000000001,2
0.7709999999999999,0.409,0.5,0.35100000000000003,0.35100000000000003,0.976,0.255,0.1,0.26899999999999996,0.109,4
0.764,0.511,0.317,0.95,0.22899999999999998,0.564,0.035,0.308,0.152,0.225,5
0.265,0.519,0.433,0.40399999999999997,0.299,0.547,0.9490000000000001,0.003,0.659,0.015,2
0.648,0.529,0.25,0.396,0.675,0.295,0.113,0.061,0.742,0.095,5
0.611,0.529,0.4,0.324,0.711,0.637,0.055,0.053,0.687,0.18,5
0.57,0.579,0.38299999999999995,0.718,0.015,0.425,0.405,0.034,0.581,0.049,1
0.41,0.32799999999999996,0.45,0.23199999999999998,0.3,1.0,0.419,0.016,0.457,0.013999999999999999,0
0.8170000000000001,0.5479999999999999,0.467,0.862,0.061,0.28,0.0,0.484,0.951,0.122,1
0.21,0.462,0.11699999999999999,0.501,0.39399999999999996,1.0,0.405,0.018000000000000002,0.845,0.063,0
0.732,0.48,0.1,0.327,0.319,0.503,0.23399999999999999,0.13699999999999998,0.297,0.111,5
0.7140000000000001,0.598,0.083,0.0,0.076,1.0,0.013999999999999999,0.17600000000000002,0.8009999999999999,0.142,5
